
x=4, y=1

-----Launching Kernel-----


Thread 224 (global 224, block 0) on position i=14 and j=14 put on 224 the value 1
Thread 0 (global 0, block 0) on position i=0 and j=0 put on 0 the value 1
Thread 1 (global 1, block 0) on position i=1 and j=0 put on 1 the value 0
Thread 2 (global 2, block 0) on position i=2 and j=0 put on 2 the value 0
Thread 3 (global 3, block 0) on position i=3 and j=0 put on 3 the value 0
Thread 4 (global 4, block 0) on position i=4 and j=0 put on 4 the value 0
Thread 5 (global 5, block 0) on position i=5 and j=0 put on 5 the value 1
Thread 6 (global 6, block 0) on position i=6 and j=0 put on 6 the value 0
Thread 7 (global 7, block 0) on position i=7 and j=0 put on 7 the value 1
Thread 8 (global 8, block 0) on position i=8 and j=0 put on 8 the value 0
Thread 9 (global 9, block 0) on position i=9 and j=0 put on 9 the value 1
Thread 10 (global 10, block 0) on position i=10 and j=0 put on 10 the value 0
Thread 11 (global 11, block 0) on position i=11 and j=0 put on 11 the value 0
Thread 12 (global 12, block 0) on position i=12 and j=0 put on 12 the value 0
Thread 13 (global 13, block 0) on position i=13 and j=0 put on 13 the value 1
Thread 14 (global 14, block 0) on position i=14 and j=0 put on 14 the value 0
Thread 15 (global 15, block 0) on position i=0 and j=1 put on 15 the value 0
Thread 16 (global 16, block 0) on position i=1 and j=1 put on 16 the value 1
Thread 17 (global 17, block 0) on position i=2 and j=1 put on 17 the value 1
Thread 18 (global 18, block 0) on position i=3 and j=1 put on 18 the value 1
Thread 19 (global 19, block 0) on position i=4 and j=1 put on 19 the value 1
Thread 20 (global 20, block 0) on position i=5 and j=1 put on 20 the value 0
Thread 21 (global 21, block 0) on position i=6 and j=1 put on 21 the value 1
Thread 22 (global 22, block 0) on position i=7 and j=1 put on 22 the value 0
Thread 23 (global 23, block 0) on position i=8 and j=1 put on 23 the value 0
Thread 24 (global 24, block 0) on position i=9 and j=1 put on 24 the value 0
Thread 25 (global 25, block 0) on position i=10 and j=1 put on 25 the value 1
Thread 26 (global 26, block 0) on position i=11 and j=1 put on 26 the value 1
Thread 27 (global 27, block 0) on position i=12 and j=1 put on 27 the value 0
Thread 28 (global 28, block 0) on position i=13 and j=1 put on 28 the value 0
Thread 29 (global 29, block 0) on position i=14 and j=1 put on 29 the value 1
Thread 30 (global 30, block 0) on position i=0 and j=2 put on 30 the value 0
Thread 31 (global 31, block 0) on position i=1 and j=2 put on 31 the value 0
Thread 96 (global 96, block 0) on position i=6 and j=6 put on 96 the value 1
Thread 97 (global 97, block 0) on position i=7 and j=6 put on 97 the value 0
Thread 98 (global 98, block 0) on position i=8 and j=6 put on 98 the value 0
Thread 99 (global 99, block 0) on position i=9 and j=6 put on 99 the value 0
Thread 100 (global 100, block 0) on position i=10 and j=6 put on 100 the value 1
Thread 101 (global 101, block 0) on position i=11 and j=6 put on 101 the value 1
Thread 102 (global 102, block 0) on position i=12 and j=6 put on 102 the value 0
Thread 103 (global 103, block 0) on position i=13 and j=6 put on 103 the value 0
Thread 104 (global 104, block 0) on position i=14 and j=6 put on 104 the value 1
Thread 105 (global 105, block 0) on position i=0 and j=7 put on 105 the value 0
